Year,Annual mean,5-year mean
// GlobalLand+OceanSurfaceTemperatureAnomaly (Base:1951-1980)
1882,-.22,-.24
1883,-.24,-.25
1884,-.30,-.26
1885,-.30,-.29
1886,-.25,-.29
1887,-.35,-.26
1888,-.26,-.28
1889,-.15,-.28
1890,-.37,-.28
1891,-.28,-.29
1892,-.32,-.32
1893,-.32,-.30
1894,-.33,-.28
1895,-.27,-.24
1896,-.17,-.23
1897,-.13,-.20
1898,-.25,-.16
1899,-.17,-.16
1900,-.10,-.19
1901,-.16,-.20
1902,-.27,-.23
1903,-.31,-.26
1904,-.34,-.27
1905,-.25,-.30
1906,-.20,-.30
1907,-.39,-.30
1908,-.34,-.32
1909,-.35,-.35
1910,-.33,-.34
1911,-.34,-.34
1912,-.34,-.29
1913,-.31,-.25
1914,-.15,-.24
1915,-.09,-.25
1916,-.30,-.25
1917,-.40,-.26
1918,-.32,-.28
1919,-.20,-.25
1920,-.19,-.22
1921,-.13,-.19
1922,-.24,-.20
1923,-.21,-.19
1924,-.21,-.17
1925,-.16,-.14
1926,-.01,-.13
1927,-.13,-.13
1928,-.11,-.11
1929,-.25,-.11
1930,-.07,-.10
1931,-.01,-.11
1932,-.06,-.07
1933,-.17,-.08
1934,-.05,-.08
1935,-.10,-.06
1936,-.03,.00
1937,.08,.02
1938,.12,.05
1939,.03,.08
1940,.05,.07
1941,.11,.06
1942,.04,.10
1943,.10,.10
1944,.20,.07
1945,.07,.07
1946,-.04,.04
1947,.01,-.01
1948,-.04,-.06
1949,-.06,-.05
1950,-.15,-.05
1951,-.04,-.02
1952,.03,-.03
1953,.11,-.02
1954,-.10,-.05
1955,-.10,-.04
1956,-.17,-.04
1957,.08,-.01
1958,.08,.01
1959,.06,.06
1960,-.01,.05
1961,.08,.05
1962,.04,.00
1963,.08,-.02
1964,-.21,-.05
1965,-.11,-.06
1966,-.03,-.08
1967,.00,-.02
1968,-.04,.01
1969,.08,-.01
1970,.03,-.01
1971,-.10,.03
1972,.00,.00
1973,.14,-.02
1974,-.08,-.03
1975,-.05,.00
1976,-.16,-.03
1977,.13,.00
1978,.02,.05
1979,.09,.13
1980,.18,.12
1981,.26,.17
1982,.05,.17
1983,.26,.14
1984,.09,.12
1985,.05,.16
1986,.13,.17
1987,.27,.19
1988,.31,.26
1989,.20,.30
1990,.38,.27
1991,.35,.24
1992,.12,.25
1993,.14,.25
1994,.24,.24
1995,.38,.29
1996,.30,.38
1997,.40,.39
1998,.57,.38
1999,.33,.42
2000,.33,.45
2001,.48,.45
2002,.56,.48
2003,.55,.54
2004,.48,.55
2005,.62,.55
2006,.55,.53
2007,.57,*
2008,.44,*
//----------------------------------