DayOfYear,75 percentile,50 percentile,25 percentile
1,49.193,21.127,8.777
2,46.47,20.869,8.581
3,45.977,20.094,8.5
4,45.953,19.617,8.532
5,46.357,19.744,8.606
6,47.448,19.651,8.568
7,48.23,19.299,8.571
8,48.529,18.909,8.59
9,49.567,18.897,8.675
10,52.336,19.129,8.699
11,53.17,19.522,8.77
12,54.645,19.872,8.79
13,54.698,19.9,8.795
14,53.519,19.814,8.854
15,52.733,19.796,8.948
16,51.173,20.138,9.105
17,49.453,20.507,9.255
18,46.759,20.748,9.42
19,44.397,20.544,9.577
20,40.57,20.177,9.754
21,38.575,19.801,9.898
22,35.808,19.475,10.038
23,33.824,19.217,10.072
24,32.495,18.875,9.966
25,30.669,18.179,9.761
26,29.326,17.06,9.525
27,28.345,16.105,9.297
28,27.846,15.378,9.071
29,27.584,14.954,8.794
30,27.512,14.52,8.494
31,27.603,14.066,8.213
32,29.068,13.747,7.984
33,31.829,13.44,7.79
34,34.463,13.281,7.617
35,36.26,13.312,7.527
36,37.525,13.348,7.455
37,38.225,13.407,7.388
38,38.569,13.478,7.296
39,38.889,13.404,7.217
40,38.975,13.403,7.173
41,38.962,13.346,7.145
42,37.669,13.271,7.083
43,35.134,13.215,7.117
44,32.634,13.133,7.157
45,30.845,12.963,7.127
46,29.479,12.881,7.058
47,28.51,12.787,6.921
48,28.01,12.661,6.783
49,27.669,12.587,6.66
50,27.229,12.587,6.532
51,26.696,12.653,6.462
52,26.756,12.716,6.392
53,26.679,12.759,6.215
54,26.687,12.73,6.132
55,26.785,12.653,6.105
56,26.946,12.598,6.125
57,27.291,12.532,6.222
58,27.375,12.603,6.387
59,27.273,12.637,6.556
60,27.185,12.581,6.736
61,27.019,12.507,6.888
62,26.326,12.464,7.053
63,26.17,12.48,7.264
64,26.625,12.508,7.422
65,26.749,12.763,7.647
66,26.841,12.953,7.847
67,26.897,13.162,8.032
68,27.037,13.206,8.222
69,27.434,13.282,8.367
70,27.752,13.433,8.503
71,28.006,13.554,8.624
72,28.318,13.677,8.754
73,28.576,13.694,8.83
74,28.35,13.7,8.872
75,28.842,13.465,8.82
76,29.285,13.397,8.774
77,30.394,13.268,8.7
78,31.192,13.154,8.587
79,31.438,13.147,8.507
80,31.562,13.253,8.432
81,31.714,13.564,8.391
82,31.73,13.716,8.367
83,32.106,13.959,8.363
84,32.665,14.147,8.397
85,32.852,14.415,8.48
86,33.016,14.544,8.596
87,33.056,14.714,8.68
88,32.932,14.977,8.783
89,33.223,15.212,8.894
90,33.825,15.34,9.061
91,34.711,15.254,9.252
92,35.589,15.303,9.463
93,35.39,15.437,9.654
94,35,15.695,9.851
95,34.656,16.038,10.04
96,34.817,16.403,10.327
97,35.036,16.831,10.658
98,36,17.253,11.081
99,36.718,17.827,11.445
100,37.432,18.644,11.75
101,37.946,19.718,12.112
102,39.376,20.802,12.48
103,41.372,21.973,13.181
104,43.008,23.509,13.951
105,45.043,24.792,14.736
106,47.379,25.897,15.342
107,49.299,27.08,15.958
108,50.707,28.79,16.48
109,52.318,30.232,17.184
110,55.13,31.786,17.957
111,58.003,32.804,18.739
112,60.907,34.23,19.621
113,64.674,36.111,20.225
114,68.404,37.424,20.586
115,71.771,39.136,20.964
116,74.626,40.178,21.829
117,77.831,41.552,22.809
118,81.643,43.802,23.755
119,86.104,47.505,24.691
120,89.915,50.671,26.154
121,94.757,54.61,27.913
122,98.215,58.149,29.779
123,101.479,61.48,33.217
124,105.083,65.993,37.634
125,107.978,70.787,42.251
126,112.088,75.851,45.953
127,119.428,80.009,49.321
128,125.771,83.123,52.868
129,130.095,85.603,56.467
130,133.998,89.331,60.039
131,139.083,92.704,64.18
132,143.678,98.341,67.011
133,147.795,102.776,68.344
134,150.878,106.5,69.96
135,156.997,109.751,72.063
136,162.641,113.178,73.664
137,165.596,117.007,75.62
138,168.151,120.836,77.339
139,172.718,123.137,80.121
140,176.231,124.718,82.69
141,178.121,126.692,84.56
142,183.312,126.519,88.937
143,186.238,128.312,92.33
144,189.062,131.288,93.458
145,191.432,132.109,94.485
146,192.528,131.947,96.669
147,192.066,132.277,98.263
148,191.135,131.868,99.427
149,191.284,133.477,99.427
150,191.852,135.335,99.109
151,192.484,135.73,98.676
152,191.964,136.158,97.838
153,194.231,136.666,98.531
154,197.098,136.991,100.614
155,197.889,139.87,102.729
156,197.52,143.804,104.777
157,199.251,146.414,105.825
158,201.474,148.735,107.062
159,202.064,149.693,107.607
160,201.938,148.492,107.946
161,201.635,147.894,107.678
162,199.866,147.618,105.333
163,194.997,145.941,102.291
164,189.773,141.09,99.417
165,184.611,135.605,95.759
166,182.78,131.006,92.721
167,180.056,127.459,90.276
168,177.459,124.499,87.705
169,174.869,121.753,85.265
170,170.972,120.383,82.665
171,166.876,118.078,80.992
172,163.159,114.606,80.94
173,162.172,111.47,81.102
174,160.582,111.31,80.849
175,160.642,110.768,80.513
176,158.259,109.167,78.764
177,154.502,107.728,77.52
178,152.924,105.909,76.985
179,150.08,103.11,76.471
180,148.698,100.639,76.531
181,146.599,99.12,76.444
182,145.26,98.254,75.395
183,142.886,98.438,74.134
184,141.733,96.765,72.803
185,139.368,95.237,71.534
186,137.482,94.305,70.69
187,136.83,93.008,69.986
188,134.039,92.116,69.199
189,132.275,92.343,68.788
190,130.743,92.631,68.052
191,129.116,93.225,66.872
192,126.396,93.229,65.852
193,124.305,91.615,63.955
194,122.119,90.711,62.514
195,118.93,89.67,61.3
196,115.911,88.349,59.614
197,112.139,86.481,58.36
198,109.512,85.673,56.945
199,107.619,83.724,55.44
200,106.274,81.378,53.462
201,105.839,78.855,52.425
202,105.693,77.058,51.443
203,105.068,76.135,50.985
204,104.686,74.365,49.859
205,103.936,73.04,48.714
206,103.194,71.953,48.183
207,102.506,71.705,47.528
208,101.53,70.56,46.947
209,100.51,70.316,46.683
210,100.126,70.27,47.049
211,99.129,70.111,46.563
212,98.029,69.669,46.439
213,97.43,68.759,45.898
214,96.212,69.047,45.739
215,96.354,68.999,45.31
216,96.157,68.429,44.877
217,95.723,66.994,44.454
218,95.388,65.05,43.462
219,94.61,62.902,42.337
220,92.45,61.18,40.878
221,90.313,59.959,39.366
222,88.812,58.549,37.988
223,88.358,57.512,37.065
224,89.491,55.81,35.993
225,89.089,54.649,34.961
226,88.699,53.436,34.107
227,89.218,52.222,33.158
228,88.901,51.26,32.626
229,88.013,51.19,31.977
230,88.315,50.8,31.526
231,87.98,49.519,31.062
232,86.743,48.69,30.146
233,84.979,47.237,29.417
234,81.895,45.545,28.713
235,79.447,44.75,28.017
236,78.416,44.153,27.103
237,77.39,44.515,26.522
238.0416667,77.173,45.441,26.027
239,76.503,45.582,25.314
240,75.401,45.681,25.232
241,76.363,46.124,25.173
242,78.687,46.126,25.176
243,80.048,47.234,25.611
244,81.396,49.053,25.77
245,84.578,49.62,26.318
246,86.131,50.906,27.086
247,89.214,52.457,27.197
248,93.029,53.698,27.59
249,97.28,54.171,28.505
250,100.011,54.171,28.644
251,101.553,54.203,28.599
252,101.288,54.303,28.388
253,102.147,53.832,27.68
254,103.53,53.615,27.087
255,105.64,53.832,26.14
256,107.098,53.416,25.222
257,109.116,51.939,24.709
258,112.68,52.349,23.983
259,115.509,53.601,23.092
260,120.616,54.7,22.908
261,123.169,58.081,23.099
262,128.822,62.178,23.772
263,132.976,64.461,24.575
264,138.354,65.973,25.47
265,140.369,68.088,25.885
266,142.521,70.353,26.017
267,138.586,71.895,26.294
268,132.316,70.603,27.506
269,129.669,68.695,28.423
270,126.784,67.772,28.573
271,125.359,64.869,28.186
272,123.408,62.712,27.436
273,121.061,61.421,26.559
274,116.681,59.279,26.187
275.0416667,115.366,58.607,26.636
276,114.583,58.147,27.468
277,117.407,58.63,28.187
278,119.265,60.983,27.885
279,119.124,63.361,27.801
280,119.449,64.703,27.661
281,118.991,66.86,28.093
282,115.618,67.154,28.328
283,112.482,67.123,28.517
284,109.191,67.156,28.046
285,104.218,65.69,27.233
286,100.496,63.232,26.819
287,96.72,60.236,26.154
288,94.952,56.19,25.315
289,91.762,53.531,24.307
290,87.324,51.338,23.379
291,85.99,48.048,22.143
292,86.5,44.703,21.405
293,86.704,42.61,21.244
294,89.365,41.504,21.152
295,91.439,39.632,21.193
296,92.438,40.934,20.599
297,94.275,43.341,20.127
298,95.601,45.221,19.643
299,96.71,45.933,19.41
300.0416667,98.883,46.438,19.234
301,101.442,47.49,19.227
302,103.494,48.641,19.067
303,104.085,49.45,18.856
304,104.609,50.671,18.704
305,106.297,52.571,18.678
306,107.735,51.398,18.681
307,105.827,48.694,18.605
308,102.559,46.163,18.753
309,99.539,44.092,18.861
310,97.159,42.238,19.26
311,93.706,40.227,19.461
312,89.754,38.83,19.53
313,87.614,37.25,19.247
314,83.186,35.468,19.139
315,78.874,33.057,18.641
316,74.862,31.157,17.985
317,71.934,29.892,17.319
318,69.052,28.989,16.574
319,66.94,27.857,15.757
320,63.718,26.878,14.879
321,59.431,25.661,14.236
322,56.662,24.598,13.812
323,56.402,24.211,13.487
324,57.857,24.291,13.084
325,59.647,23.748,13.043
326,60.291,24.014,13.094
327,61.47,25.002,13.222
328,64.589,25.813,13.399
329,67.277,26.711,13.553
330,69.793,27.37,13.564
331,71.701,27.857,13.498
332,71.751,28.393,13.592
333,70.524,28.961,13.611
334,69.164,28.674,13.624
335,65.541,28.633,13.366
336,63.893,27.814,13.114
337,65.048,26.589,12.993
338,64.092,25.736,12.732
339,62.418,25.328,12.624
340,61.277,25.924,12.596
341,60.331,26.29,12.484
342,59.47,26.487,12.309
343,58.32,25.883,12.148
344,57.138,25.887,12.078
345,58.127,25.927,12.057
346,58.14,25.97,11.958
347,55.474,26.256,11.713
348,53.294,26.207,11.629
349,52.155,25.583,11.406
350,50.378,24.222,11.315
351,49.456,23.445,11.208
352,48.808,22.573,10.804
353,48.646,22.211,10.471
354,47.987,21.408,10.104
355,47.638,21.036,9.783
356,49.308,20.74,9.597
357,50.824,20.305,9.586
358,51.266,20.68,9.507
359,52.067,21.064,9.445
360,52.68,21.267,9.243
361,53.962,21.318,9.173
362,54.629,21.618,9.125
363,55.772,21.603,9.016
364,55.282,21.691,8.869
365,53.222,21.437,8.807
